rate,loc,group,stage
16,1,1,1
16.6,1,1,1
18.2,1,1,1
11.8,1,1,1
33.4,1,1,1
16,1,1,1
36.2857142857143,1,1,1
20.2857142857143,1,1,1
25.7142857142857,1,1,1
7.42857142857143,1,1,1
14.4444444444444,1,1,1
9.11111111111111,1,1,1
39.4,1,1,1
24.8,1,1,1
8.8,1,1,1
15.6,1,1,1
20.2,1,1,1
36.8,1,1,1
19.2,1,1,1
24.2,1,1,1
29.5,1,1,1
25.75,1,1,1
15.25,1,1,1
11.3333333333333,1,1,1
17.7777777777778,1,1,1
8.44444444444444,1,1,1
20.4444444444444,1,1,1
25.5555555555556,1,1,1
11.4,1,1,1
14.4,1,1,1
15.5555555555556,1,1,1
21.6,1,1,1
5.6,1,1,1
19,1,1,1
31,1,1,1
36,1,1,1
41,1,1,1
23.4,1,1,1
14.8,1,1,1
8,1,1,1
29.2,1,1,1
22.2,1,1,1
40.8,1,1,1
9.6,1,1,1
15.4,1,1,1
23,1,1,1
11.2,1,1,1
33.5,1,1,1
8,1,1,1
6.4,1,1,1
22.2222222222222,1,1,1
50.25,1,1,1
32.5,1,1,1
6,1,1,1
12.8,1,1,1
8.8,1,1,1
30.2,1,1,1
4.8,1,1,1
34,1,1,1
11.8,1,1,1
21.4,1,1,1
6.6,1,1,1
5.8,1,1,1
22,1,1,1
19.8,1,1,1
27,1,1,1
29,1,1,1
26.4,1,1,1
12,1,1,1
25,1,1,1
17.2,1,1,1
49,1,1,1
7,1,1,1
39.6,1,1,1
26.6,1,1,1
19.6,1,1,1
13.2,1,1,1
18.2,1,1,1
15.2,1,1,1
25.4,1,1,1
10.4,1,1,1
47,1,1,1
25,1,1,1
39.8,1,1,1
13.6,1,1,1
8.4,1,1,1
40,1,1,1
30,1,1,1
36.6666666666667,1,1,1
14.6666666666667,1,1,1
40.3333333333333,1,1,1
43,1,1,1
21.5,1,1,1
39,1,1,1
19.2,1,1,1
6,1,1,1
19.6,1,1,1
33.8,1,1,1
16.2,1,1,1
8,1,1,1
19.4,1,1,1
12.8,1,1,1
8.25,1,1,1
11,1,1,1
7,1,1,1
42.6,1,1,1
21.8,1,1,1
24.2,1,1,1
7,1,1,1
2.4,1,1,1
11,1,1,1
25,1,1,1
13.8,1,1,1
22.2,1,1,1
7.8,1,1,1
80.2,1,1,1
12.8,1,1,1
37.8,1,1,1
41.2,1,1,1
9.4,1,1,1
14.4,1,1,1
11.2,1,1,1
23,1,1,1
42.8,1,1,1
18,1,1,1
19.4285714285714,1,1,1
12.25,1,1,1
13,1,1,1
28,1,1,1
21.6,1,1,1
12.2,1,1,1
21.2,1,1,1
28.4444444444444,1,1,1
9.55555555555556,1,1,1
14.2222222222222,1,1,1
7.33333333333333,1,1,1
13.1111111111111,1,1,1
8.88888888888889,1,1,1
26.6,1,1,1
13.4,1,1,1
21.6,1,1,1
18.8,1,1,1
47.6,1,1,1
11.4,1,1,1
32,1,1,1
8.6,1,1,1
7.4,1,1,1
19.4,1,1,1
27.8,1,1,1
17,1,1,1
5.2,1,1,1
9,1,1,1
10.4,1,1,1
