rate,loc,group,stage
10.1333333333333,1,1,1
8.73333333333333,1,1,1
14.7333333333333,1,1,1
9.33333333333333,1,1,1
16.6,1,1,1
8.66666666666667,1,1,1
24.4761904761905,1,1,1
15.6190476190476,1,1,1
20.8571428571429,1,1,1
5.80952380952381,1,1,1
19.1111111111111,1,1,1
9.62962962962963,1,1,1
36.4,1,1,1
17.0666666666667,1,1,1
5.06666666666667,1,1,1
17.0666666666667,1,1,1
18.8666666666667,1,1,1
37.2,1,1,1
18.4,1,1,1
31.4,1,1,1
47.3333333333333,1,1,1
39.6666666666667,1,1,1
31.4166666666667,1,1,1
5.85185185185185,1,1,1
8,1,1,1
7.48148148148148,1,1,1
13.037037037037,1,1,1
21.9259259259259,1,1,1
11,1,1,1
11.8666666666667,1,1,1
12.6666666666667,1,1,1
3.66666666666667,1,1,1
6.53333333333333,1,1,1
18,1,1,1
27,1,1,1
28.9166666666667,1,1,1
30.8333333333333,1,1,1
20.0666666666667,1,1,1
19.6,1,1,1
3.4,1,1,1
7.6,1,1,1
6.2,1,1,1
29.1333333333333,1,1,1
2.46666666666667,1,1,1
6.46666666666667,1,1,1
7.06666666666667,1,1,1
10.3333333333333,1,1,1
22.0833333333333,1,1,1
4.33333333333333,1,1,1
6.93333333333333,1,1,1
24.3703703703704,1,1,1
47.3333333333333,1,1,1
35.5,1,1,1
5.08333333333333,1,1,1
6.53333333333333,1,1,1
2.06666666666667,1,1,1
14.3333333333333,1,1,1
4.06666666666667,1,1,1
17.6,1,1,1
7.8,1,1,1
12.7333333333333,1,1,1
2.2,1,1,1
3.33333333333333,1,1,1
16.8666666666667,1,1,1
21.8666666666667,1,1,1
29.9333333333333,1,1,1
25.7777777777778,1,1,1
27.5555555555556,1,1,1
10.3703703703704,1,1,1
20.4666666666667,1,1,1
20,1,1,1
44.9333333333333,1,1,1
6.93333333333333,1,1,1
44.8,1,1,1
38.7333333333333,1,1,1
17.5333333333333,1,1,1
10.9333333333333,1,1,1
14.6,1,1,1
11.9333333333333,1,1,1
19.5333333333333,1,1,1
8.13333333333333,1,1,1
42.4666666666667,1,1,1
20.7333333333333,1,1,1
34.6666666666667,1,1,1
12.1333333333333,1,1,1
9,1,1,1
32.2222222222222,1,1,1
21.7777777777778,1,1,1
29.3333333333333,1,1,1
7.77777777777778,1,1,1
31.3333333333333,1,1,1
39.75,1,1,1
18.3333333333333,1,1,1
43,1,1,1
7.2,1,1,1
4.06666666666667,1,1,1
13.3333333333333,1,1,1
42.6,1,1,1
25,1,1,1
2.46666666666667,1,1,1
19.9333333333333,1,1,1
12.7333333333333,1,1,1
19.75,1,1,1
15.5555555555556,1,1,1
1.8,1,1,1
35.9333333333333,1,1,1
19,1,1,1
17.2666666666667,1,1,1
2.93333333333333,1,1,1
1.33333333333333,1,1,1
5.86666666666667,1,1,1
18.8666666666667,1,1,1
18.4,1,1,1
23.7333333333333,1,1,1
5.26666666666667,1,1,1
65.2,1,1,1
12.7333333333333,1,1,1
34.2,1,1,1
18.5333333333333,1,1,1
2.4,1,1,1
12.4666666666667,1,1,1
13.2666666666667,1,1,1
26.7333333333333,1,1,1
56.5333333333333,1,1,1
8.47619047619048,1,1,1
10.8571428571429,1,1,1
9.16666666666667,1,1,1
9.58333333333333,1,1,1
23.25,1,1,1
27.3333333333333,1,1,1
9.46666666666667,1,1,1
20.6666666666667,1,1,1
36.8148148148148,1,1,1
10.5185185185185,1,1,1
9.03703703703704,1,1,1
6.37037037037037,1,1,1
6.37037037037037,1,1,1
5.25925925925926,1,1,1
22.5333333333333,1,1,1
14.6,1,1,1
21.6666666666667,1,1,1
20.2,1,1,1
48,1,1,1
15.8,1,1,1
37.7333333333333,1,1,1
11.3333333333333,1,1,1
7.86666666666667,1,1,1
14.0666666666667,1,1,1
23.8,1,1,1
7.93333333333333,1,1,1
4.46666666666667,1,1,1
11.6666666666667,1,1,1
7.86666666666667,1,1,1
8.91666666666667,1,1,1
11,1,1,1
16.8333333333333,1,1,1
14.6,1,1,1
12.5333333333333,1,1,1
14.0666666666667,1,1,1
12.6666666666667,1,1,1
2.4,1,1,1
8.66666666666667,1,1,1
39.9259259259259,1,1,1
7.92592592592593,1,1,1
15.8,1,1,1
19.3333333333333,1,1,1
3.06666666666667,1,1,1
19.0666666666667,1,1,1
6.93333333333333,1,1,1
2.66666666666667,1,1,1
26.6,1,1,1
45.2666666666667,1,1,1
10.9333333333333,1,1,1
27.8666666666667,1,1,1
9.4,2,1,1
8,2,1,1
12.6,2,1,1
8.86666666666667,2,1,1
15.9333333333333,2,1,1
7.53333333333333,2,1,1
9.61904761904762,2,1,1
9.04761904761905,2,1,1
14.0952380952381,2,1,1
4,2,1,1
12.2222222222222,2,1,1
5.48148148148148,2,1,1
28,2,1,1
15.8,2,1,1
3.33333333333333,2,1,1
15.3333333333333,2,1,1
18.8,2,1,1
8.26666666666667,2,1,1
9.6,2,1,1
20.8,2,1,1
17.6666666666667,2,1,1
35.75,2,1,1
13.6666666666667,2,1,1
4.22222222222222,2,1,1
7.18518518518518,2,1,1
5.77777777777778,2,1,1
8.37037037037037,2,1,1
18.6666666666667,2,1,1
6.8,2,1,1
8.4,2,1,1
8,2,1,1
1.4,2,1,1
1.46666666666667,2,1,1
6,2,1,1
12.8666666666667,2,1,1
14.5833333333333,2,1,1
24.3333333333333,2,1,1
11.8666666666667,2,1,1
6,2,1,1
1.4,2,1,1
4.53333333333333,2,1,1
5.33333333333333,2,1,1
24.8,2,1,1
1.8,2,1,1
6.26666666666667,2,1,1
5.26666666666667,2,1,1
8.46666666666667,2,1,1
21.6666666666667,2,1,1
2.46666666666667,2,1,1
6.26666666666667,2,1,1
22.8888888888889,2,1,1
13,2,1,1
15.1666666666667,2,1,1
2.41666666666667,2,1,1
3.6,2,1,1
1.6,2,1,1
6.2,2,1,1
1.8,2,1,1
15.4666666666667,2,1,1
7,2,1,1
9,2,1,1
1.2,2,1,1
2.13333333333333,2,1,1
8.44444444444444,2,1,1
9.33333333333333,2,1,1
29.8518518518519,2,1,1
17.8,2,1,1
8.93333333333333,2,1,1
0.466666666666667,2,1,1
17.0666666666667,2,1,1
10.3333333333333,2,1,1
21.8666666666667,2,1,1
2.86666666666667,2,1,1
19.8666666666667,2,1,1
9.4,2,1,1
15.7333333333333,2,1,1
9.2,2,1,1
11.4666666666667,2,1,1
11.6666666666667,2,1,1
19.4,2,1,1
5.86666666666667,2,1,1
41,2,1,1
20.2666666666667,2,1,1
32.8,2,1,1
8.6,2,1,1
8.66666666666667,2,1,1
26.5555555555556,2,1,1
17.7777777777778,2,1,1
25.1111111111111,2,1,1
7,2,1,1
30.6666666666667,2,1,1
30.25,2,1,1
15,2,1,1
33,2,1,1
6.13333333333333,2,1,1
2.26666666666667,2,1,1
11.0666666666667,2,1,1
33.3333333333333,2,1,1
12.1333333333333,2,1,1
2.33333333333333,2,1,1
