rate,loc,group,stage
10.8,1,1,1
10.5,1,1,1
12.1,1,1,1
8.9,1,1,1
17.4,1,1,1
10.3,1,1,1
10.4285714285714,1,1,1
10.8571428571429,1,1,1
16.7142857142857,1,1,1
7,1,1,1
8.7,1,1,1
10.5,1,1,1
43.3333333333333,1,1,1
10,1,1,1
6.11111111111111,1,1,1
28.9,1,1,1
21.7,1,1,1
8.1,1,1,1
15.9,1,1,1
17.9,1,1,1
4.9,1,1,1
6,1,1,1
9.4,1,1,1
13.125,1,1,1
14,1,1,1
5.625,1,1,1
9.7,1,1,1
2.8,1,1,1
9.11111111111111,1,1,1
10.8888888888889,1,1,1
4.55555555555556,1,1,1
14.1111111111111,1,1,1
21.7777777777778,1,1,1
6.7,1,1,1
12.4,1,1,1
13.4444444444444,1,1,1
1.8,1,1,1
1.8,1,1,1
6.7,1,1,1
12.7,1,1,1
19.875,1,1,1
23,1,1,1
16.2,1,1,1
6.7,1,1,1
4.9,1,1,1
9.7,1,1,1
9.6,1,1,1
29.2,1,1,1
1.9,1,1,1
6.8,1,1,1
8.9,1,1,1
12.8,1,1,1
20.125,1,1,1
1.71428571428571,1,1,1
7.28571428571429,1,1,1
12,1,1,1
27.9,1,1,1
13.5,1,1,1
2.9,1,1,1
6,1,1,1
17.7777777777778,1,1,1
21.625,1,1,1
16.25,1,1,1
3.625,1,1,1
5.7,1,1,1
2.4,1,1,1
15.9,1,1,1
4.9,1,1,1
16,1,1,1
4.4,1,1,1
6.8,1,1,1
0.7,1,1,1
3,1,1,1
16.5,1,1,1
10.7777777777778,1,1,1
12.5714285714286,1,1,1
9.42857142857143,1,1,1
10.2857142857143,1,1,1
2.9,1,1,1
18.1,1,1,1
1.6,1,1,1
4.3,1,1,1
3,1,1,1
7,1,1,1
10.5,1,1,1
8.8,1,1,1
8.5,1,1,1
15.2,1,1,1
7,1,1,1
8.4,1,1,1
10.5,1,1,1
17.5,1,1,1
2.6,1,1,1
25.3,1,1,1
16.3,1,1,1
14.5,1,1,1
7.3,1,1,1
10.4,1,1,1
9.7,1,1,1
20.2,1,1,1
7.4,1,1,1
11,1,1,1
26.1,1,1,1
13.6,1,1,1
24.8,1,1,1
5,1,1,1
1.9,1,1,1
20.6666666666667,1,1,1
14.8333333333333,1,1,1
20.6666666666667,1,1,1
7.16666666666667,1,1,1
28.8333333333333,1,1,1
19.4285714285714,1,1,1
23.7142857142857,1,1,1
27.1428571428571,1,1,1
19.8333333333333,1,1,1
24.625,1,1,1
13.75,1,1,1
35,1,1,1
6.5,1,1,1
4.4,1,1,1
13.1,1,1,1
12.2,1,1,1
8.2,1,1,1
1.1,1,1,1
14.9,1,1,1
10.9,1,1,1
13.625,1,1,1
10,1,1,1
0.9,1,1,1
24.8,1,1,1
8.7,1,1,1
8.7,1,1,1
1.1,1,1,1
1,1,1,1
4.4,1,1,1
11.8,1,1,1
11.9,1,1,1
17.6,1,1,1
1.2,1,1,1
14.1,1,1,1
5.7,1,1,1
16.4,1,1,1
19.6,1,1,1
1.1,1,1,1
2.8,1,1,1
4.2,1,1,1
8.3,1,1,1
30.6,1,1,1
8.71428571428571,1,1,1
12.7142857142857,1,1,1
4.375,1,1,1
4.5,1,1,1
13.75,1,1,1
14.3,1,1,1
8.1,1,1,1
14.8,1,1,1
10.8888888888889,1,1,1
6.33333333333333,1,1,1
8.88888888888889,1,1,1
5.77777777777778,1,1,1
8.55555555555556,1,1,1
6.33333333333333,1,1,1
15.6,1,1,1
6.9,1,1,1
12.2,1,1,1
3.3,1,1,1
24,1,1,1
2.9,1,1,1
14.9,1,1,1
6,1,1,1
5.1,1,1,1
6.5,1,1,1
10.6,1,1,1
6.6,1,1,1
4.3,1,1,1
6.4,1,1,1
6.3,1,1,1
6.25,1,1,1
8.25,1,1,1
18,1,1,1
11.2,1,1,1
10.6,1,1,1
10.9,1,1,1
11.6,1,1,1
